Lat,Lon,Depth,Inc,Dec,Moment
-11.6547,15.8691,23.0,5,84,7700000000
-11.643,15.7831,-360.8,5,84,7700000000
-11.6391,15.9238,-73.4,5,84,7700000000
-11.6313,15.7401,-173.8,5,84,7700000000
-11.6274,15.8182,-294.7,5,84,7700000000
-11.6235,15.9355,-2.7,5,84,7700000000
-11.6195,16.1583,382.0,5,84,7700000000
-11.6117,15.7401,-83.5,5,84,7700000000
-11.6078,15.7987,-263.3,5,84,7700000000
-11.6039,15.8456,-202.2,5,84,7700000000
-11.6,15.9746,-267.4,5,84,7700000000
-11.5961,16.1427,405.3,5,84,7700000000
-11.5922,16.1622,452.9,5,84,7700000000
-11.5883,16.1779,432.0,5,84,7700000000
-11.5844,16.1857,415.0,5,84,7700000000
-11.5805,16.2052,472.2,5,84,7700000000
-11.5765,16.2169,483.9,5,84,7700000000
-11.5726,16.2326,502.2,5,84,7700000000
-11.5687,16.2443,500.5,5,84,7700000000
-11.5648,16.2169,478.8,5,84,7700000000
-11.5609,16.17,290.7,5,84,7700000000
-11.557,16.1427,313.6,5,84,7700000000
-11.5531,16.1231,324.3,5,84,7700000000
-11.5492,16.0762,133.8,5,84,7700000000
-11.5453,15.9081,-285.8,5,84,7700000000
-11.5414,15.8456,-319.1,5,84,7700000000
-11.5375,15.4664,630.8,5,84,7700000000
-11.5375,16.2756,510.1,5,84,7700000000
-11.5336,16.1896,363.5,5,84,7700000000
-11.5296,16.0723,193.0,5,84,7700000000
-11.5257,15.8808,-331.0,5,84,7700000000
-11.5218,15.5564,249.9,5,84,7700000000
-11.5179,15.3961,385.1,5,84,7700000000
-11.5179,16.2912,524.0,5,84,7700000000
-11.514,16.3068,537.0,5,84,7700000000
-11.5062,15.4078,422.6,5,84,7700000000
-11.5023,15.8691,-385.0,5,84,7700000000
-11.4984,15.8221,-420.7,5,84,7700000000
-11.4945,15.4274,383.0,5,84,7700000000
-11.4945,16.2678,480.0,5,84,7700000000
-11.4906,16.1466,420.1,5,84,7700000000
-11.4866,16.0645,215.8,5,84,7700000000
-11.4827,15.4938,426.6,5,84,7700000000
-11.4788,15.3179,439.9,5,84,7700000000
-11.4788,16.2169,413.3,5,84,7700000000
-11.4749,16.0919,213.2,5,84,7700000000
-11.471,16.0723,179.6,5,84,7700000000
-11.4671,16.1739,442.8,5,84,7700000000
-11.4593,15.5016,426.3,5,84,7700000000
-11.4554,16.0293,58.3,5,84,7700000000
-11.4515,16.1935,415.1,5,84,7700000000
-11.4436,15.5094,426.2,5,84,7700000000
-11.4397,15.9707,-235.5,5,84,7700000000
-11.4358,16.1427,412.1,5,84,7700000000
-11.4319,16.2052,458.2,5,84,7700000000
-11.428,16.2521,562.1,5,84,7700000000
-11.4202,15.4039,474.8,5,84,7700000000
-11.4163,15.572,476.6,5,84,7700000000
-11.4124,15.9629,-127.4,5,84,7700000000
-11.4085,16.002,97.9,5,84,7700000000
-11.4046,16.1427,510.2,5,84,7700000000
-11.4007,16.2169,528.4,5,84,7700000000
-11.3967,16.2443,536.0,5,84,7700000000
-11.3928,16.2287,533.1,5,84,7700000000
-11.3889,16.1935,559.2,5,84,7700000000
-11.385,16.0879,476.4,5,84,7700000000
-11.3811,15.8065,96.9,5,84,7700000000
-11.3772,15.3414,396.7,5,84,7700000000
-11.3772,16.17,555.5,5,84,7700000000
-11.3733,15.873,29.2,5,84,7700000000
-11.3733,16.3537,511.2,5,84,7700000000
-11.3694,15.9941,325.7,5,84,7700000000
-11.3655,15.4743,536.8,5,84,7700000000
-11.3655,15.998,346.3,5,84,7700000000
-11.3655,16.6235,643.7,5,84,7700000000
-11.3616,15.9042,104.7,5,84,7700000000
-11.3616,16.3694,662.7,5,84,7700000000
-11.3577,15.8143,245.7,5,84,7700000000
-11.3577,16.213,579.9,5,84,7700000000
-11.3537,15.6345,306.1,5,84,7700000000
-11.3537,16.0645,436.2,5,84,7700000000
-11.3498,15.4508,630.2,5,84,7700000000
-11.3498,15.8691,154.3,5,84,7700000000
-11.3498,16.2365,601.8,5,84,7700000000
-11.3459,15.6267,279.6,5,84,7700000000
-11.3459,15.9902,341.3,5,84,7700000000
-11.3459,16.3616,635.6,5,84,7700000000
-11.342,15.7205,323.2,5,84,7700000000
-11.342,16.0723,463.5,5,84,7700000000
-11.3381,15.3492,397.8,5,84,7700000000
-11.3381,15.7948,221.6,5,84,7700000000
-11.3381,16.1427,629.0,5,84,7700000000
-11.3342,15.486,622.8,5,84,7700000000
-11.3342,15.9081,190.5,5,84,7700000000
-11.3342,16.2599,596.4,5,84,7700000000
-11.3303,15.6697,346.9,5,84,7700000000
-11.3303,16.0332,419.5,5,84,7700000000
-11.3303,16.5609,916.6,5,84,7700000000
-11.3264,15.8221,227.6,5,84,7700000000
-11.3264,16.17,641.2,5,84,7700000000
-11.3225,15.6345,261.2,5,84,7700000000
-11.3225,15.9941,292.5,5,84,7700000000
-11.3225,16.5414,989.6,5,84,7700000000
-11.3186,15.8104,210.2,5,84,7700000000
-11.3186,16.1583,642.3,5,84,7700000000
-11.3147,15.5134,408.3,5,84,7700000000
-11.3147,15.9785,272.6,5,84,7700000000
-11.3147,16.4827,974.4,5,84,7700000000
-11.3107,15.8065,252.0,5,84,7700000000
-11.3107,16.1544,645.2,5,84,7700000000
-11.3068,15.4899,581.0,5,84,7700000000
-11.3068,16.002,354.1,5,84,7700000000
-11.3068,16.4788,937.0,5,84,7700000000
-11.3029,15.8221,273.6,5,84,7700000000
-11.3029,16.1739,628.1,5,84,7700000000
-11.299,15.4782,582.9,5,84,7700000000
-11.299,16.0137,369.0,5,84,7700000000
-11.299,16.4827,906.3,5,84,7700000000
-11.2951,15.8651,240.6,5,84,7700000000
-11.2951,16.2208,617.9,5,84,7700000000
-11.2912,15.529,357.4,5,84,7700000000
-11.2912,16.0801,490.8,5,84,7700000000
-11.2912,16.5609,811.4,5,84,7700000000
-11.2873,15.8964,201.5,5,84,7700000000
-11.2873,16.2834,709.6,5,84,7700000000
-11.2834,15.5368,395.5,5,84,7700000000
-11.2834,16.0293,379.1,5,84,7700000000
-11.2834,16.4476,795.0,5,84,7700000000
-11.2795,15.7244,577.3,5,84,7700000000
-11.2795,16.1153,614.8,5,84,7700000000
-11.2795,16.514,783.5,5,84,7700000000
-11.2756,15.8065,374.1,5,84,7700000000
-11.2756,16.1857,347.7,5,84,7700000000
-11.2717,15.4195,386.8,5,84,7700000000
-11.2717,15.8769,204.1,5,84,7700000000
-11.2717,16.2756,735.6,5,84,7700000000
-11.2678,15.5055,379.0,5,84,7700000000
-11.2678,15.9277,300.4,5,84,7700000000
-11.2678,16.3459,683.4,5,84,7700000000
-11.2638,15.5603,386.8,5,84,7700000000
-11.2638,15.9863,353.8,5,84,7700000000
